OBJECTID,cluster,name,crimechange
32,1,"Kalorama Heights, Adams Morgan, Lanier Heights",-4.108736612
34,2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",-6.543430354
15,3,"Howard University, Le Droit Park, Cardozo/Shaw",-12.41496718
13,4,"Georgetown, Burleith/Hillandale",-3.835069919
7,5,"West End, Foggy Bottom, GWU",-3.905667373
14,6,"Dupont Circle, Connecticut Avenue/K Street",-10.32225313
10,7,"Shaw, Logan Circle",-6.253756061
6,8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",-45.46841801
16,9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",-10.58785633
26,10,"Hawthorne, Barnaby Woods, Chevy Chase",-0.079758775
22,11,"Friendship Heights, American University Park, Tenleytown",-3.263937401
20,12,"North Cleveland Park, Forest Hills, Van Ness",-0.617291092
18,13,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",-0.426760448
37,14,"Cathedral Heights, McLean Gardens, Glover Park",-1.851888376
38,15,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",-1.454321004
25,16,"Colonial Village, Shepherd Park, North Portal Estates",-0.928467377
24,17,"Takoma, Brightwood, Manor Park",-2.208313855
21,18,"Brightwood Park, Crestwood, Petworth",-1.807202834
23,19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",0.6123355
19,20,"North Michigan Park, Michigan Park, University Heights",-2.912774895
33,21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",-6.551864723
35,22,"Brookland, Brentwood, Langdon",-6.63255241
12,23,"Ivy City, Arboretum, Trinidad, Carver Langston",-11.10556711
36,24,"Woodridge, Fort Lincoln, Gateway",-0.828999784
31,25,"Union Station, Stanton Park, Kingman Park",-8.314486773
39,26,"Capitol Hill, Lincoln Park",-8.582169816
4,27,"Near Southeast, Navy Yard",-20.15590249
27,28,Historic Anacostia,-2.684806051
11,29,"Eastland Gardens, Kenilworth",13.12997142
8,30,"Mayfair, Hillbrook, Mahaning Heights",8.48101985
9,31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",2.721315881
5,32,"River Terrace, Benning, Greenway, Dupont Park",6.849309168
17,33,"Capitol View, Marshall Heights, Benning Heights",0.018671688
30,34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",-3.287120417
28,35,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",-2.342688853
3,36,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",-5.1230264
29,37,"Sheridan, Barry Farm, Buena Vista",-3.495544631
2,38,"Douglas, Shipley Terrace",-5.023604604
1,39,"Congress Heights, Bellevue, Washington Highlands",-7.44796342
