"cluster","cluster_name","year","aggassault","homicide","robbery","pop","assaultrate","robrate","homrate","violentcrime","violentrate"
1,"Kalorama Heights, Adams Morgan, Lanier Heights",2000,56,3,84,18167,3.0825122474817,4.62376837122255,0.16513458468652,143,7.87141520339076
1,"Kalorama Heights, Adams Morgan, Lanier Heights",2001,56,2,129,18184.1,3.07961350850468,7.094109689234,0.10998619673231,187,10.283709394471
1,"Kalorama Heights, Adams Morgan, Lanier Heights",2002,65,1,162,18201.2,3.57119310814672,8.90051205415028,0.0549414324330264,228,12.52664659473
1,"Kalorama Heights, Adams Morgan, Lanier Heights",2003,56,0,139,18218.3,3.07383235537893,7.62969102495842,0,195,10.7035233803374
1,"Kalorama Heights, Adams Morgan, Lanier Heights",2004,56,1,159,18235.4,3.07094991061342,8.71930421049168,0.054838391260954,216,11.8450925123661
1,"Kalorama Heights, Adams Morgan, Lanier Heights",2005,56,1,133,18252.5,3.06807286673058,7.28667305848514,0.0547870154773319,190,10.4095329406931
1,"Kalorama Heights, Adams Morgan, Lanier Heights",2006,44,2,128,18269.6,2.40837237815825,7.00617419100582,0.109471471734466,174,9.52401804089854
1,"Kalorama Heights, Adams Morgan, Lanier Heights",2007,55,2,149,18286.7,3.0076503688473,8.14799827196815,0.10936910432172,206,11.2650177451372
1,"Kalorama Heights, Adams Morgan, Lanier Heights",2008,43,1,149,18303.8,2.34923895584523,8.14038614932418,0.0546334640894241,193,10.5442585692588
1,"Kalorama Heights, Adams Morgan, Lanier Heights",2009,38,0,134,18320.9,2.0741339126353,7.31405116560868,0,172,9.38818507824397
1,"Kalorama Heights, Adams Morgan, Lanier Heights",2010,35,2,110,18338,1.90860508234268,5.99847311593413,0.109063147562439,147,8.01614134583924
1,"Kalorama Heights, Adams Morgan, Lanier Heights",2011,37,2,122,18338,2.01766822990511,6.65285200130876,0.109063147562439,161,8.77958337877631
1,"Kalorama Heights, Adams Morgan, Lanier Heights",2012,37,0,120,18338,2.01766822990511,6.54378885374632,0,157,8.56145708365143
1,"Kalorama Heights, Adams Morgan, Lanier Heights",2013,26,3,104,18338,1.4178209183117,5.67128367324681,0.163594721343658,133,7.25269931290217
1,"Kalorama Heights, Adams Morgan, Lanier Heights",2014,24,1,44,18338,1.30875777074926,2.39938924637365,0.0545315737812193,69,3.76267859090413
2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2000,313,22,369,46779,6.69103657624148,7.88815494131982,0.470296500566494,704,15.0494880181278
2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2001,364,23,395,46838.9,7.77131828458824,8.43316132530866,0.491044836663542,782,16.6955244465604
2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2002,403,22,457,46898.8,8.59297039583102,9.74438578385801,0.469095158085068,882,18.8064513377741
2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2003,368,15,534,46958.7,7.83667350246067,11.3716947019402,0.319429626458995,917,19.5277978308599
2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2004,261,4,446,47018.6,5.55099471273071,9.48560782328695,0.0850727159039189,711,15.1216752519216
2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2005,253,12,505,47078.5,5.37400299499772,10.7267648714381,0.254893422687639,770,16.3556612891235
2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2006,320,12,465,47138.4,6.78852061164571,9.86456901379767,0.254569522936714,797,16.9076591483801
2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2007,264,7,466,47198.3,5.5934217969715,9.87323695980576,0.14831042643485,737,15.6149691832121
2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2008,220,12,508,47258.2,4.65527675620316,10.7494572370509,0.25392418670199,740,15.6586581799561
2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2009,203,14,444,47318.1,4.29011308569025,9.38330152732253,0.295869867978638,661,13.9692844809914
2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2010,190,9,368,47378,4.01030013930516,7.76731816454895,0.189961585546034,567,11.9675798894001
2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2011,124,7,472,47378,2.61724851196758,9.96242981974756,0.147747899869138,603,12.7274262315843
2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2012,116,4,399,47378,2.44839376925999,8.42163029254084,0.0844273713537929,519,10.9544514331546
2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2013,129,5,417,47378,2.72278272615982,8.80155346363291,0.105534214192241,551,11.629870403985
2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2014,139,7,257,47378,2.9338511545443,5.42445860948119,0.147747899869138,403,8.50605766389464
3,"Howard University, Le Droit Park, Cardozo/Shaw",2000,126,5,137,10128,12.4407582938389,13.5268562401264,0.493680884676145,268,26.4612954186414
3,"Howard University, Le Droit Park, Cardozo/Shaw",2001,135,8,151,10332.6,13.0654433540445,14.6139403441535,0.774248495054488,294,28.4536321932524
3,"Howard University, Le Droit Park, Cardozo/Shaw",2002,135,4,121,10537.2,12.8117526477622,11.4831264472535,0.379607485859621,260,24.6744865808754
3,"Howard University, Le Droit Park, Cardozo/Shaw",2003,87,1,150,10741.8,8.09920125118695,13.9641400882534,0.0930942672550224,238,22.1564356066953
3,"Howard University, Le Droit Park, Cardozo/Shaw",2004,82,4,131,10946.4,7.49104728495213,11.9674048088869,0.365416940729372,217,19.8238690345684
3,"Howard University, Le Droit Park, Cardozo/Shaw",2005,97,6,160,11151,8.69877141063582,14.3484889247601,0.538068334678504,263,23.5853286700744
3,"Howard University, Le Droit Park, Cardozo/Shaw",2006,93,7,192,11355.6,8.18979182077565,16.9079573074078,0.616435943499243,292,25.7141850716827
3,"Howard University, Le Droit Park, Cardozo/Shaw",2007,85,4,192,11560.2,7.35281396515631,16.6087091918825,0.346014774830885,281,24.3075379318697
3,"Howard University, Le Droit Park, Cardozo/Shaw",2008,70,6,186,11764.8,5.9499524003808,15.8098735210118,0.50999592003264,262,22.2698218414253
3,"Howard University, Le Droit Park, Cardozo/Shaw",2009,55,2,176,11969.4,4.59505071265059,14.7041622804819,0.167092753187294,233,19.4663057463198
3,"Howard University, Le Droit Park, Cardozo/Shaw",2010,61,3,154,12174,5.01067849515361,12.6499096435025,0.246426811237063,218,17.9070149498932
3,"Howard University, Le Droit Park, Cardozo/Shaw",2011,60,1,221,12174,4.92853622474125,18.1534417611303,0.0821422704123542,282,23.1641202562839
3,"Howard University, Le Droit Park, Cardozo/Shaw",2012,70,1,173,12174,5.74995892886479,14.2106127813373,0.0821422704123542,244,20.0427139806144
3,"Howard University, Le Droit Park, Cardozo/Shaw",2013,67,1,172,12174,5.50353211762773,14.1284705109249,0.0821422704123542,240,19.714144898965
3,"Howard University, Le Droit Park, Cardozo/Shaw",2014,54,2,115,12174,4.43568260226713,9.44636109742073,0.164284540824708,171,14.0463282405126
4,"Georgetown, Burleith/Hillandale",2000,35,1,78,18741,1.8675630969532,4.16199775892428,0.0533589456272344,114,6.08291980150472
4,"Georgetown, Burleith/Hillandale",2001,33,0,73,18913.3,1.74480392105027,3.85971776474756,0,106,5.60452168579782
