offense,year,Latitude,Longitude
ADW,2011,38.8764992,-77.0115967
ADW,2011,38.8451004,-76.9868011
ADW,2011,38.8414001,-76.9937973
ADW,2011,38.8964005,-76.9822006
ADW,2011,38.8665009,-76.9838028
ADW,2011,38.9267998,-77.036499
ADW,2011,38.8917999,-76.9540024
ADW,2011,38.9171982,-76.9801025
ADW,2011,38.9137001,-77.0082016
ADW,2011,38.901001,-76.9477997
ADW,2011,38.8628998,-76.9493027
ADW,2011,38.9305,-77.036499
ADW,2011,38.8728981,-76.9655991
ADW,2011,38.953701,-76.987999
ADW,2011,38.8852997,-76.9829025
ADW,2011,38.8438988,-76.9750977
ADW,2011,38.9071999,-77.0333023
ADW,2011,38.8837013,-76.9431
ADW,2011,38.9054985,-77.0143967
ADW,2011,38.9496994,-77.0158005
ADW,2011,38.9174004,-77.0167999
ADW,2011,38.9450989,-77.0354996
ADW,2011,38.8694992,-76.9766998
ADW,2011,38.9000015,-76.9484024
ADW,2011,38.8801994,-76.9598999
ADW,2011,38.9273987,-77.0341034
ADW,2011,38.8841019,-76.9761963
ADW,2011,38.9005013,-77.0171967
ADW,2011,38.9135017,-76.9856033
ADW,2011,38.8541985,-76.9884033
ADW,2011,38.8713989,-76.9403
ADW,2011,38.8296013,-76.9944
ADW,2011,38.9039001,-76.9243011
ADW,2011,38.8586998,-76.9643021
ADW,2011,38.8244019,-77.009697
ADW,2011,38.9216995,-77.0435028
ADW,2011,38.8368988,-76.981102
ADW,2011,38.8829002,-76.9233017
ADW,2011,38.8249016,-76.9964981
ADW,2011,38.9005013,-76.9775009
ADW,2011,38.8438988,-76.9788971
ADW,2011,38.9180984,-77.0319977
ADW,2011,38.9631996,-77.0279007
ADW,2011,38.8988991,-76.9850006
ADW,2011,38.8456993,-76.9728012
ADW,2011,38.8979988,-77.0518036
ADW,2011,38.8890991,-76.938797
ADW,2011,38.9025002,-77.017601
ADW,2011,38.9224014,-76.9744034
ADW,2011,38.8969994,-76.9307022
ADW,2011,38.9491005,-77.0245972
ADW,2011,38.8811989,-76.930603
ADW,2011,38.9241982,-76.9983978
ADW,2011,38.9029999,-76.9881973
ADW,2011,38.8890991,-76.9205017
ADW,2011,38.828701,-77.0020981
ADW,2011,38.899601,-76.9722977
ADW,2011,38.9017982,-76.9291992
ADW,2011,38.8623009,-76.9932022
ADW,2011,38.9090004,-76.9840012
ADW,2011,38.9053993,-76.9820023
ADW,2011,38.8592987,-76.9952011
ADW,2011,38.9263,-77.0354996
ADW,2011,38.9211006,-77.0307999
ADW,2011,38.8524017,-76.9822998
ADW,2011,38.9253998,-77.0338974
ADW,2011,38.9614983,-77.026001
ADW,2011,38.9174004,-77.0167999
ADW,2011,38.8973007,-77.0250015
ADW,2011,38.9091988,-77.0319977
ADW,2011,38.8480988,-76.9760971
ADW,2011,38.8600006,-76.9906006
ADW,2011,38.896801,-76.9766006
ADW,2011,38.9169006,-77.0233994
ADW,2011,38.8244019,-77.009697
ADW,2011,38.8720016,-77.0113983
ADW,2011,38.9155998,-77.001297
ADW,2011,38.8776016,-76.9312973
ADW,2011,38.9012985,-77.0274963
ADW,2011,38.9492989,-77.0157013
ADW,2011,38.9275017,-76.993103
ADW,2011,38.8625984,-76.9889984
ADW,2011,38.8783989,-77.0141983
ADW,2011,38.9558983,-77.0198975
ADW,2011,38.8790016,-76.9636993
ADW,2011,38.8997993,-77.0218964
ADW,2011,38.8396988,-76.998497
ADW,2011,38.962101,-77.0279007
ADW,2011,38.8881989,-76.9574966
ADW,2011,38.8478012,-76.9719009
ADW,2011,38.9099998,-77.001503
ADW,2011,38.8592987,-76.9918976
ADW,2011,38.8415985,-76.9872971
ADW,2011,38.9236984,-76.9990005
ADW,2011,38.8658981,-76.9458008
ADW,2011,38.9000015,-76.9824982
ADW,2011,38.8848991,-76.946701
ADW,2011,38.8730011,-76.9348984
ADW,2011,38.9039993,-76.947197
ADW,2011,38.8465004,-76.9815979
ADW,2011,38.9329987,-77.0220032
ADW,2011,38.8540993,-76.9721985
ADW,2011,38.9042015,-77.0384979
ADW,2011,38.9435005,-77.0259018
ADW,2011,38.9099998,-77.0384979
ADW,2011,38.8608017,-76.9975967
ADW,2011,38.9202995,-77.0716019
ADW,2011,38.8951988,-76.9363022
ADW,2011,38.9216003,-77.0423965
ADW,2011,38.8907013,-76.9531021
ADW,2011,38.8914986,-77.0058975
ADW,2011,38.8851013,-76.9527969
ADW,2011,38.884201,-76.9223022
ADW,2011,38.9296989,-77.0434036
ADW,2011,38.8658981,-76.9802017
ADW,2011,38.9141006,-77.0307999
ADW,2011,38.8284988,-77.0076981
ADW,2011,38.8855019,-76.9544983
ADW,2011,38.9277992,-77.0429993
ADW,2011,38.8320007,-77.0019989
ADW,2011,38.8939018,-76.9231033
ADW,2011,38.8462982,-76.9801025
ADW,2011,38.9090004,-76.9840012
ADW,2011,38.8553009,-76.9866028
ADW,2011,38.8279991,-77.0006027
ADW,2011,38.9468994,-77.0174026
ADW,2011,38.9799995,-77.0207977
ADW,2011,38.9028015,-76.9768982
ADW,2011,38.8694992,-76.966301
ADW,2011,38.9090996,-77.0482025
ADW,2011,38.8991013,-77.0327988
ADW,2011,38.9056015,-77.0121994
ADW,2011,38.9067993,-77.0058975
ADW,2011,38.9025002,-76.9775009
ADW,2011,38.9040985,-76.9337997
ADW,2011,38.9239006,-77.0390015
ADW,2011,38.8456993,-76.9728012
ADW,2011,38.8832016,-76.9403
ADW,2011,38.9280014,-77.0245972
ADW,2011,38.8947983,-76.9794006
ADW,2011,38.8955002,-77.0230026
ADW,2011,38.9598999,-77.0852966
ADW,2011,38.9303017,-77.0233994
ADW,2011,38.8480988,-76.9760971
ADW,2011,38.8512993,-76.9655991
ADW,2011,38.9322014,-77.0726013
ADW,2011,38.8746986,-76.9719009
ADW,2011,38.9057007,-77.0345993
ADW,2011,38.9174004,-77.0167999
ADW,2011,38.8675995,-76.9860992
ADW,2011,38.9129982,-76.9848022
ADW,2011,38.8983994,-76.944603
ADW,2011,38.9155998,-77.004303
ADW,2011,38.8852997,-76.9873962
ADW,2011,38.9216003,-77.0412979
ADW,2011,38.8672981,-76.9735031
ADW,2011,38.8855019,-76.9544983
ADW,2011,38.9063988,-77.0270004
ADW,2011,38.8572998,-76.9871979
ADW,2011,38.8732986,-76.9373016
ADW,2011,38.9562988,-77.0249023
ADW,2011,38.9056015,-77.0441971
ADW,2011,38.9255981,-76.9776001
ADW,2011,38.8833008,-76.9781036
ADW,2011,38.8336983,-77.0047989
ADW,2011,38.9600983,-76.998497
ADW,2011,38.8292007,-76.9924011
ADW,2011,38.9014015,-76.9761963
ADW,2011,38.8767014,-76.9944992
ADW,2011,38.8507004,-76.9766006
ADW,2011,38.9230003,-76.985199
ADW,2011,38.8764992,-77.0145035
ADW,2011,38.9159012,-77.0319977
ADW,2011,38.9075012,-76.9832993
ADW,2011,38.9068985,-76.9885025
ADW,2011,38.8720016,-77.016098
ADW,2011,38.8700981,-76.9822006
ADW,2011,38.8541985,-76.9884033
ADW,2011,38.8866005,-77.0208969
ADW,2011,38.8793983,-76.9291
ADW,2011,38.9431,-77.0207977
