offense,year,Latitude,Longitude
Robbery,2011,38.8764992,-77.0187988
Robbery,2011,38.9169998,-77.0296021
Robbery,2011,38.9280014,-77.0245972
Robbery,2011,38.9185982,-77.0350037
Robbery,2011,38.9065018,-76.9989014
Robbery,2011,38.8478012,-77.0044022
Robbery,2011,38.8432999,-76.9968033
Robbery,2011,38.8974991,-76.9425964
Robbery,2011,38.889801,-76.9962006
Robbery,2011,38.9572983,-77.0270004
Robbery,2011,38.9235001,-77.0503998
Robbery,2011,38.9258995,-77.0373993
Robbery,2011,38.8737984,-76.9338989
Robbery,2011,38.8652992,-76.9505997
Robbery,2011,38.8335991,-76.9897995
Robbery,2011,38.9320984,-77.0375977
Robbery,2011,38.9235001,-77.0509033
Robbery,2011,38.844101,-76.9981995
Robbery,2011,38.8468018,-76.9828033
Robbery,2011,38.8983002,-76.9284973
Robbery,2011,38.9099007,-77.043602
Robbery,2011,38.8846016,-76.9250031
Robbery,2011,38.8853989,-76.9236984
Robbery,2011,38.9399986,-76.9955978
Robbery,2011,38.9090996,-77.0482025
Robbery,2011,38.9037018,-77.0384979
Robbery,2011,38.8396988,-76.998497
Robbery,2011,38.9626999,-77.0283966
Robbery,2011,38.9117012,-77.0218964
Robbery,2011,38.9681015,-77.0273972
Robbery,2011,38.9669991,-77.0198975
Robbery,2011,38.8740997,-76.9720993
Robbery,2011,38.8406982,-77.0027008
Robbery,2011,38.9376984,-77.0202026
Robbery,2011,38.8897018,-76.9217987
Robbery,2011,38.9025002,-77.0327988
Robbery,2011,38.8745995,-77.0094986
Robbery,2011,38.862999,-76.9938965
Robbery,2011,38.8991013,-77.0327988
Robbery,2011,38.8927002,-76.9213028
Robbery,2011,38.9614983,-77.0282974
Robbery,2011,38.9682999,-77.0348969
Robbery,2011,38.8507996,-76.9747009
Robbery,2011,38.8424988,-76.9929962
Robbery,2011,38.9347,-76.9877014
Robbery,2011,38.9224014,-77.001297
Robbery,2011,38.9485016,-76.9914017
Robbery,2011,38.9199982,-77.0397034
Robbery,2011,38.9025002,-77.0355988
Robbery,2011,38.8866005,-76.9517975
Robbery,2011,38.894001,-76.9781036
Robbery,2011,38.9261017,-77.0258026
Robbery,2011,38.9337997,-76.9854965
Robbery,2011,38.9334984,-76.9918976
Robbery,2011,38.9334984,-77.0631027
Robbery,2011,38.9259987,-77.0442963
Robbery,2011,38.9370003,-77.0243988
Robbery,2011,38.9301987,-77.0279007
Robbery,2011,38.9832001,-77.0307007
Robbery,2011,38.9048996,-77.0218964
Robbery,2011,38.8988991,-76.9765015
Robbery,2011,38.9263,-77.0270004
Robbery,2011,38.9313011,-77.0297012
Robbery,2011,38.9287987,-77.0269012
Robbery,2011,38.9216003,-77.0423965
Robbery,2011,38.9616013,-77.0334015
Robbery,2011,38.9165001,-77.0158005
Robbery,2011,38.9255981,-77.0402985
Robbery,2011,38.8279991,-77.0006027
Robbery,2011,38.9575005,-77.0840988
Robbery,2011,38.9056015,-77.018898
Robbery,2011,38.9287987,-76.9871979
Robbery,2011,38.9090004,-76.9840012
Robbery,2011,38.9001999,-76.9908981
Robbery,2011,38.9572983,-77.0309982
Robbery,2011,38.9099007,-77.043602
Robbery,2011,38.9286003,-76.9772034
Robbery,2011,38.8911018,-76.9385986
Robbery,2011,38.9081993,-77.0466003
Robbery,2011,38.8939018,-76.9348984
Robbery,2011,38.9640007,-77.0334015
Robbery,2011,38.9020996,-77.0230026
Robbery,2011,38.8297997,-76.9919968
Robbery,2011,38.8989983,-76.9769974
Robbery,2011,38.9017982,-76.9486008
Robbery,2011,38.8395004,-76.9899979
Robbery,2011,38.8879013,-76.9262009
Robbery,2011,38.9336014,-76.9796982
Robbery,2011,38.9001999,-76.9937973
Robbery,2011,38.8941994,-76.9926987
Robbery,2011,38.8973007,-77.0289001
Robbery,2011,38.9165993,-77.0319977
Robbery,2011,38.9407005,-76.9925995
Robbery,2011,38.8611984,-76.9840012
Robbery,2011,38.9370003,-77.0243988
Robbery,2011,38.9054985,-76.9798965
Robbery,2011,38.8987999,-76.925499
Robbery,2011,38.9564018,-77.0211029
Robbery,2011,38.9455986,-77.0264969
Robbery,2011,38.8247986,-77.0123978
Robbery,2011,38.9397011,-77.0311966
Robbery,2011,38.9017982,-76.9878998
Robbery,2011,38.9392014,-77.0297012
Robbery,2011,38.9230003,-77.0429001
Robbery,2011,38.8813019,-76.9845963
Robbery,2011,38.8936005,-76.9897995
Robbery,2011,38.9429016,-76.9751968
Robbery,2011,38.9351006,-77.0326996
Robbery,2011,38.9519005,-77.0286026
Robbery,2011,38.9015007,-77.026001
Robbery,2011,38.8422012,-77.0028
Robbery,2011,38.8955002,-76.9329987
Robbery,2011,38.9178009,-77.0218964
Robbery,2011,38.844101,-76.9919968
Robbery,2011,38.9367981,-77.0735016
Robbery,2011,38.9375992,-77.024498
Robbery,2011,38.8308983,-76.9994965
Robbery,2011,38.8586006,-76.9977036
Robbery,2011,38.8619003,-76.9730988
Robbery,2011,38.9231987,-77.0000992
Robbery,2011,38.8204002,-77.0110016
Robbery,2011,38.9370003,-77.0243988
Robbery,2011,38.9071999,-77.0058975
Robbery,2011,38.9421005,-77.0255966
Robbery,2011,38.8973007,-76.9873962
Robbery,2011,38.8674011,-76.9480972
Robbery,2011,38.8847008,-76.9316025
Robbery,2011,38.8572998,-76.9636002
Robbery,2011,38.9421997,-77.0146027
Robbery,2011,38.8978004,-77.0270004
Robbery,2011,38.8367004,-76.9875031
Robbery,2011,38.8236008,-77.0089035
Robbery,2011,38.9208984,-76.9972
Robbery,2011,38.8700981,-76.9657974
Robbery,2011,38.8325996,-77.0090027
Robbery,2011,38.9025002,-77.0194016
Robbery,2011,38.8764992,-77.0164032
Robbery,2011,38.861599,-76.989502
Robbery,2011,38.8658981,-76.9802017
Robbery,2011,38.8851013,-76.9972992
Robbery,2011,38.8483009,-77.0056
Robbery,2011,38.8474007,-77.0055008
Robbery,2011,38.8639984,-76.9825974
Robbery,2011,38.9117012,-77.0218964
Robbery,2011,38.8888016,-76.9550018
Robbery,2011,38.844799,-76.9850998
Robbery,2011,38.8923988,-76.9136963
Robbery,2011,38.8325005,-77.0083008
Robbery,2011,38.9207993,-77.0006027
Robbery,2011,38.9558983,-77.0198975
Robbery,2011,38.8586006,-76.9977036
Robbery,2011,38.8967018,-77.0296021
Robbery,2011,38.8932991,-76.9469986
Robbery,2011,38.9416008,-77.0139008
Robbery,2011,38.9370003,-77.0238037
Robbery,2011,38.9147987,-77.0084
Robbery,2011,38.8325996,-77.0090027
Robbery,2011,38.844101,-76.9919968
Robbery,2011,38.9626999,-77.0110016
Robbery,2011,38.9155998,-77.0240021
Robbery,2011,38.9598999,-77.0852966
Robbery,2011,38.9548988,-77.0177002
Robbery,2011,38.9171982,-76.9801025
Robbery,2011,38.8530998,-76.9639969
Robbery,2011,38.9286003,-76.9772034
Robbery,2011,38.8949013,-76.9486008
Robbery,2011,38.8468018,-76.9707031
Robbery,2011,38.8779984,-76.9882965
Robbery,2011,38.8881989,-76.9574966
Robbery,2011,38.8588982,-76.9615021
Robbery,2011,38.8457985,-76.9992981
Robbery,2011,38.9387016,-77.0311966
Robbery,2011,38.8493996,-76.9796982
Robbery,2011,38.9034996,-76.9751968
Robbery,2011,38.9286003,-77.0286026
Robbery,2011,38.8265991,-76.9944
Robbery,2011,38.9306984,-77.0223999
Robbery,2011,38.8997993,-77.0208969
Robbery,2011,38.9440002,-77.0267029
Robbery,2011,38.9426994,-77.0154037
Robbery,2011,38.8336983,-76.9926987
Robbery,2011,38.9005013,-76.9409027
Robbery,2011,38.8927002,-76.9509964
Robbery,2011,38.9081993,-76.9338989
Robbery,2011,38.8918991,-76.9188995
Robbery,2011,38.9173012,-76.9750977
Robbery,2011,38.9110985,-77.020401
Robbery,2011,38.8764992,-77.0164032
Robbery,2011,38.9085007,-76.9372025
Robbery,2011,38.895401,-76.9893036
Robbery,2011,38.9376984,-77.0202026
Robbery,2011,38.8983994,-76.9425964
Robbery,2011,38.9208984,-76.9972
Robbery,2011,38.8595009,-76.9968033
Robbery,2011,38.8456993,-77.0046997
Robbery,2011,38.8594017,-76.9999008
Robbery,2011,38.9016991,-77.0477982
Robbery,2011,38.9031982,-76.9813995
Robbery,2011,38.9169998,-77.0307999
Robbery,2011,38.9286003,-77.0311966
Robbery,2011,38.8394012,-77.0006027
Robbery,2011,38.9263992,-77.0338974
Robbery,2011,38.8927002,-76.9213028
Robbery,2011,38.8602982,-76.990303
Robbery,2011,38.9145012,-77.0019989
Robbery,2011,38.9012985,-76.9409027
Robbery,2011,38.8936005,-76.9972992
Robbery,2011,38.889801,-76.9178009
Robbery,2011,38.9089012,-76.9320984
Robbery,2011,38.9185982,-77.0270004
Robbery,2011,38.844101,-76.9981995
Robbery,2011,38.9118996,-77.0056
Robbery,2011,38.9025002,-77.0198975
Robbery,2011,38.9463005,-76.9960022
Robbery,2011,38.9118996,-77.0384979
Robbery,2011,38.8852005,-76.956398
Robbery,2011,38.8893013,-76.9534988
Robbery,2011,38.8380013,-76.9974976
Robbery,2011,38.9037018,-77.0009003
