offense,year,Latitude,Longitude
Robbery,2001,38.8866005,-76.9880981
Robbery,2001,38.8769989,-77.0038986
Robbery,2001,38.9011993,-76.941597
Robbery,2001,38.9071007,-77.0138016
Robbery,2001,38.9193001,-77.0215988
Robbery,2001,38.9073982,-77.0465012
Robbery,2001,38.9169998,-77.0345001
Robbery,2001,38.8961983,-77.0220032
Robbery,2001,38.9090996,-77.0550003
Robbery,2001,38.8922005,-76.9517975
Robbery,2001,38.8310013,-77.0061035
Robbery,2001,38.8569984,-76.9821014
Robbery,2001,38.891201,-76.9952011
Robbery,2001,38.8244019,-77.0121002
Robbery,2001,38.8849983,-76.9271011
Robbery,2001,38.952301,-77.0824966
Robbery,2001,38.9478989,-77.0789032
Robbery,2001,38.9608002,-77.0822983
Robbery,2001,38.8866005,-76.9880981
Robbery,2001,38.8769989,-77.0038986
Robbery,2001,38.9071007,-77.0138016
Robbery,2001,38.9132996,-77.0296021
Robbery,2001,38.9341011,-76.9853973
Robbery,2001,38.9341011,-77.0388031
Robbery,2001,38.9131012,-77.0149994
Robbery,2001,38.9192009,-77.0320969
Robbery,2001,38.8465996,-76.9770966
Robbery,2001,38.9020996,-77.0453033
Robbery,2001,38.9436989,-77.061203
Robbery,2001,38.8614998,-76.9937973
Robbery,2001,38.9003983,-76.9301987
Robbery,2001,38.9333992,-76.9889984
Robbery,2001,38.8950996,-77.0271988
Robbery,2001,38.9487991,-76.9896011
Robbery,2001,38.8666992,-76.9832993
Robbery,2001,38.9550018,-77.0224991
Robbery,2001,38.8693008,-76.9697037
Robbery,2001,38.9113007,-76.9869003
Robbery,2001,38.8991013,-76.9953995
Robbery,2001,38.8557014,-76.9736023
Robbery,2001,38.8628006,-76.969101
Robbery,2001,38.9053001,-77.0334015
Robbery,2001,38.898201,-77.0398026
Robbery,2001,38.9203987,-77.0008011
Robbery,2001,38.9003983,-76.9985962
Robbery,2001,38.921299,-77.0389023
Robbery,2001,38.8851013,-76.9251022
Robbery,2001,38.9630013,-77.0106964
Robbery,2001,38.8935013,-77.0179977
Robbery,2001,38.8376999,-76.9896011
Robbery,2001,38.9002991,-76.986702
Robbery,2001,38.8376999,-76.9896011
Robbery,2001,38.9630013,-77.0106964
Robbery,2001,38.8222008,-77.006897
Robbery,2001,38.9173012,-77.0119019
Robbery,2001,38.9094009,-77.0455017
Robbery,2001,38.9091988,-77.023201
Robbery,2001,38.8237991,-77.0094986
Robbery,2001,38.9131012,-77.0413971
Robbery,2001,38.8801003,-76.9841995
Robbery,2001,38.9678001,-77.0355988
Robbery,2001,38.8978996,-76.9720001
Robbery,2001,38.9137001,-76.9872971
Robbery,2001,38.8853989,-76.9302979
Robbery,2001,38.8991013,-76.9725037
Robbery,2001,38.9188995,-77.0418015
Robbery,2001,38.9678001,-77.0355988
Robbery,2001,38.9146996,-77.0345993
Robbery,2001,38.8773994,-77.0090027
Robbery,2001,38.8894005,-76.9159012
Robbery,2001,38.8400993,-77.0044022
Robbery,2001,38.9067993,-76.9990005
Robbery,2001,38.9511986,-77.0126038
Robbery,2001,38.8485985,-77.0021973
Robbery,2001,38.8880005,-76.9300003
Robbery,2001,38.9065018,-77.0257034
Robbery,2001,38.9057999,-77.0261002
Robbery,2001,38.9738007,-77.0129013
Robbery,2001,38.8851013,-76.9925003
Robbery,2001,38.8855019,-76.9260025
Robbery,2001,38.9341011,-77.0240021
Robbery,2001,38.9137993,-77.0177994
Robbery,2001,38.8656006,-76.9684982
Robbery,2001,38.8265991,-77.0020981
Robbery,2001,38.8238983,-77.0018005
Robbery,2001,38.956501,-77.0271988
Robbery,2001,38.9001007,-77.0084991
Robbery,2001,38.9752998,-77.0158997
Robbery,2001,38.9608002,-77.0822983
Robbery,2001,38.8680992,-76.9745026
Robbery,2001,38.9183006,-77.0287018
Robbery,2001,38.9258003,-77.0552979
Robbery,2001,38.9067993,-77.0273972
Robbery,2001,38.9365997,-77.0595016
Robbery,2001,38.8973007,-77.0162964
Robbery,2001,38.8927002,-76.9514008
Robbery,2001,38.8959007,-76.9232025
Robbery,2001,38.9252014,-77.0226974
Robbery,2001,38.8764,-77.017601
Robbery,2001,38.8930016,-76.9424973
Robbery,2001,38.9157982,-77.0186005
Robbery,2001,38.9264984,-77.0351028
Robbery,2001,38.8557014,-76.9723969
Robbery,2001,38.8223,-77.0021973
Robbery,2001,38.9328995,-76.9977036
Robbery,2001,38.8591995,-76.9654999
Robbery,2001,38.9183006,-77.018898
Robbery,2001,38.9165001,-76.9728012
Robbery,2001,38.9272003,-77.0343018
Robbery,2001,38.894001,-76.9215012
Robbery,2001,38.8981018,-77.0243988
Robbery,2001,38.858799,-76.9645004
Robbery,2001,38.9548988,-77.0246964
Robbery,2001,38.8602982,-76.967598
Robbery,2001,38.9155998,-77.0218964
Robbery,2001,38.8512993,-76.9837036
Robbery,2001,38.8894005,-76.9253006
Robbery,2001,38.8602982,-76.990303
Robbery,2001,38.908699,-77.0102997
Robbery,2001,38.9194984,-77.0460968
Robbery,2001,38.8298988,-76.9952011
Robbery,2001,38.9135017,-77.0413971
Robbery,2001,38.9453011,-77.0063019
Robbery,2001,38.9235992,-77.0343018
Robbery,2001,38.8774986,-77.0182037
Robbery,2001,38.8997993,-77.0241013
Robbery,2001,38.8311996,-76.9983978
Robbery,2001,38.899601,-77.021698
Robbery,2001,38.8972015,-77.0283966
Robbery,2001,38.8981018,-77.0295029
Robbery,2001,38.8975983,-77.0217972
Robbery,2001,38.9016991,-76.9336014
Robbery,2001,38.8590012,-76.9666977
Robbery,2001,38.9175987,-77.0201035
Robbery,2001,38.9057007,-77.0220032
Robbery,2001,38.9003983,-76.9957962
Robbery,2001,38.9412994,-77.0009003
Robbery,2001,38.9141006,-77.0345001
Robbery,2001,38.9180984,-77.036499
Robbery,2001,38.9278984,-77.0217972
Robbery,2001,38.8320999,-76.9955978
Robbery,2001,38.8987007,-76.9850998
Robbery,2001,38.9336014,-77.0851974
Robbery,2001,38.8249016,-77.0062027
Robbery,2001,38.8969002,-77.0133972
Robbery,2001,38.9159012,-77.0173035
Robbery,2001,38.9211006,-77.032402
Robbery,2001,38.9166985,-77.0242004
Robbery,2001,38.847599,-76.9712982
Robbery,2001,38.8460999,-76.9705963
Robbery,2001,38.8983994,-77.0240021
Robbery,2001,38.9034004,-77.0094986
Robbery,2001,38.8973007,-77.0296021
Robbery,2001,38.9336014,-76.9785004
Robbery,2001,38.9056015,-77.0411987
Robbery,2001,38.8974991,-77.0062027
Robbery,2001,38.8927002,-76.9223022
Robbery,2001,38.9053993,-77.0606995
Robbery,2001,38.8792992,-77.0052032
Robbery,2001,38.8983002,-76.9257965
Robbery,2001,38.8935013,-76.9497986
Robbery,2001,38.8485985,-77.0018005
Robbery,2001,38.8260994,-77.0073013
Robbery,2001,38.8764,-77.0098038
Robbery,2001,38.8970985,-77.0242996
Robbery,2001,38.8967018,-77.0276031
Robbery,2001,38.835701,-77.0076981
Robbery,2001,38.8987999,-76.9754028
Robbery,2001,38.9126015,-77.0161972
Robbery,2001,38.914299,-77.0299988
Robbery,2001,38.9396019,-77.0382996
Robbery,2001,38.9286003,-76.9765015
Robbery,2001,38.9436989,-76.9910965
Robbery,2001,38.9098015,-77.0483017
Robbery,2001,38.9203987,-76.9728012
Robbery,2001,38.9496002,-76.9924011
Robbery,2001,38.8830986,-76.9946976
Robbery,2001,38.9039001,-76.9998016
Robbery,2001,38.9342003,-77.0370026
Robbery,2001,38.9049988,-77.0511017
Robbery,2001,38.9034004,-77.0651016
Robbery,2001,38.8230019,-77.0073013
Robbery,2001,38.8557014,-76.9723969
Robbery,2001,38.8230019,-77.0093002
Robbery,2001,38.8903999,-76.9374008
Robbery,2001,38.9118004,-77.0384979
Robbery,2001,38.9003983,-76.9899979
Robbery,2001,38.8450012,-76.9972992
Robbery,2001,38.8810005,-76.9458008
Robbery,2001,38.9569016,-77.0164032
Robbery,2001,38.9127007,-77.0086975
Robbery,2001,38.8874016,-76.987999
Robbery,2001,38.9548988,-77.0701981
Robbery,2001,38.9337997,-76.990799
Robbery,2001,38.9048004,-77.0651016
Robbery,2001,38.8753014,-77.0109024
Robbery,2001,38.8844986,-76.9954987
Robbery,2001,38.865799,-76.9496002
Robbery,2001,38.9257011,-76.9924011
Robbery,2001,38.8223991,-77.0003967
Robbery,2001,38.9678001,-77.033699
Robbery,2001,38.8874016,-76.9981995
Robbery,2001,38.8960991,-77.0035019
Robbery,2001,38.9157982,-77.0391006
Robbery,2001,38.9169998,-77.0261002
Robbery,2001,38.8834991,-76.9865036
Robbery,2001,38.825901,-77.0075989
Robbery,2001,38.8967018,-76.9216003
Robbery,2001,38.8993988,-77.0305023
Robbery,2001,38.8474007,-76.9794998
Robbery,2001,38.9333,-76.973999
Robbery,2001,38.9219017,-77.0283966
Robbery,2001,38.9029999,-76.9901962
Robbery,2001,38.9138985,-77.0423965
Robbery,2001,38.8963013,-76.9850998
Robbery,2001,38.9207993,-77.0421982
Robbery,2001,38.8717995,-76.9745026
Robbery,2001,38.8727989,-77.0103989
Robbery,2001,38.8293991,-76.9964981
Robbery,2001,38.9193993,-77.0317001
Robbery,2001,38.9393005,-77.0606995
Robbery,2001,38.9040985,-77.0406036
Robbery,2001,38.9006004,-77.0190964
Robbery,2001,38.9075012,-77.0294037
Robbery,2001,38.9289017,-76.9758987
Robbery,2001,38.9230995,-77.0343018
Robbery,2001,38.9165001,-76.9728012
Robbery,2001,38.8594017,-76.9661026
Robbery,2001,38.8973007,-77.0245972
Robbery,2001,38.9219017,-76.9945984
Robbery,2001,38.8891983,-76.9897003
Robbery,2001,38.8974991,-77.0062027
Robbery,2001,38.8279991,-77.0009003
Robbery,2001,38.8894997,-76.9191971
Robbery,2001,38.9104996,-77.0399017
Robbery,2001,38.9353981,-77.0599976
Robbery,2001,38.8992004,-76.9798965
Robbery,2001,38.9650993,-77.0027008
Robbery,2001,38.9272003,-76.967598
Robbery,2001,38.8774986,-77.0019989
Robbery,2001,38.9108009,-77.0466003
Robbery,2001,38.8774986,-77.0019989
Robbery,2001,38.9168015,-77.0322037
Robbery,2001,38.9155998,-77.0067978
Robbery,2001,38.8572998,-76.9772034
Robbery,2001,38.8459015,-76.9963989
Robbery,2001,38.9370995,-77.0246964
Robbery,2001,38.8801003,-76.9643021
Robbery,2001,38.8973007,-77.0006027
Robbery,2001,38.9127998,-77.0440979
Robbery,2001,38.8973007,-77.0035019
Robbery,2001,38.9119987,-77.0353012
Robbery,2001,38.9127998,-77.0437012
Robbery,2001,38.9255981,-77.0299988
Robbery,2001,38.8951988,-76.9485016
Robbery,2001,38.9034004,-76.9232025
Robbery,2001,38.8324013,-77.0087967
Robbery,2001,38.9020004,-76.9719009
Robbery,2001,38.8941002,-77.018898
Robbery,2001,38.8951988,-77.0250015
Robbery,2001,38.9646988,-77.0774002
Robbery,2001,38.8972015,-76.9991989
Robbery,2001,38.9070015,-77.0468979
Robbery,2001,38.8951988,-76.9485016
Robbery,2001,38.9454002,-77.0777969
Robbery,2001,38.8970985,-77.0453033
Robbery,2001,38.8317986,-76.987999
Robbery,2001,38.8238983,-77.0030975
Robbery,2001,38.8891983,-76.9532013
Robbery,2001,38.9477997,-77.0631027
Robbery,2001,38.8600006,-76.9856033
Robbery,2001,38.9286003,-77.036499
Robbery,2001,38.9285011,-77.0335999
Robbery,2001,38.9432983,-77.0218964
Robbery,2001,38.8928986,-76.9515991
Robbery,2001,38.9110985,-77.0384979
Robbery,2001,38.9581985,-77.0279999
Robbery,2001,38.9594002,-77.0856018
Robbery,2001,38.9749985,-77.0190964
Robbery,2001,38.9375992,-77.0245972
Robbery,2001,38.9095001,-76.9869003
Robbery,2001,38.8894005,-76.9366989
