offense,year,Latitude,Longitude
Robbery,2013,38.8857994,-76.9344025
Robbery,2013,38.8866005,-76.9517975
Robbery,2013,38.9816017,-77.0227966
Robbery,2013,38.9193001,-77.039299
Robbery,2013,38.9051018,-77.0112
Robbery,2013,38.9093018,-76.9357986
Robbery,2013,38.9561996,-77.0348969
Robbery,2013,38.9525986,-77
Robbery,2013,38.9012985,-76.9409027
Robbery,2013,38.9056015,-77.0106964
Robbery,2013,38.8911018,-76.9385986
Robbery,2013,38.8704987,-76.9381027
Robbery,2013,38.9194984,-77.0218964
Robbery,2013,38.8605003,-76.9876022
Robbery,2013,38.9255981,-77.038002
Robbery,2013,38.9440994,-77.0225983
Robbery,2013,38.8939018,-76.9251022
Robbery,2013,38.9059982,-76.9862976
Robbery,2013,38.8308983,-76.9965973
Robbery,2013,38.9832993,-77.0250015
Robbery,2013,38.8991013,-76.9172974
Robbery,2013,38.9155998,-77.0307999
Robbery,2013,38.9562988,-77.0240021
Robbery,2013,38.9300003,-77.0215988
Robbery,2013,38.8933983,-76.9338989
Robbery,2013,38.9584999,-77.020401
Robbery,2013,38.9286003,-77.0354004
Robbery,2013,38.8292007,-77.0076981
Robbery,2013,38.9584007,-77.0270996
Robbery,2013,38.8292007,-76.9924011
Robbery,2013,38.9163017,-77.0174026
Robbery,2013,38.9547005,-77.0240021
Robbery,2013,38.8987999,-76.9464035
Robbery,2013,38.9690018,-77.0285034
Robbery,2013,38.8791008,-76.9854965
Robbery,2013,38.8875999,-76.9781036
Robbery,2013,38.9273987,-77.0341034
Robbery,2013,38.9560013,-77.001297
Robbery,2013,38.8852997,-76.9781036
Robbery,2013,38.9045982,-76.9414978
Robbery,2013,38.8973007,-76.9850006
Robbery,2013,38.9598007,-77.0302963
Robbery,2013,38.8809013,-76.9869003
Robbery,2013,38.8610001,-76.9710007
Robbery,2013,38.9147987,-77.0198975
Robbery,2013,38.9403,-77.0297012
Robbery,2013,38.9023018,-76.9779968
Robbery,2013,38.8937988,-76.924202
Robbery,2013,38.9071999,-77.0406036
Robbery,2013,38.9269981,-77.0325012
Robbery,2013,38.9561005,-76.9992981
Robbery,2013,38.8745003,-76.9729996
Robbery,2013,38.9001999,-76.9893036
Robbery,2013,38.9033012,-76.9915009
Robbery,2013,38.9255981,-76.9943008
Robbery,2013,38.9001999,-76.9944
Robbery,2013,38.9715996,-77.0161972
Robbery,2013,38.8939018,-76.9369965
Robbery,2013,38.9230995,-77.0395966
Robbery,2013,38.9485016,-77.0185013
Robbery,2013,38.9089012,-77.0613022
Robbery,2013,38.9155998,-77.0076981
Robbery,2013,38.9337006,-76.9876022
Robbery,2013,38.9025002,-77.0101013
Robbery,2013,38.9179001,-77.0503006
Robbery,2013,38.9197006,-77.0430984
Robbery,2013,38.9071999,-77.0401001
Robbery,2013,38.9147987,-77.0401993
Robbery,2013,38.9187012,-77.0431976
Robbery,2013,38.9576988,-77.0199966
Robbery,2013,38.9323997,-77.0236969
Robbery,2013,38.9598007,-77.0224991
Robbery,2013,38.8921013,-76.9514008
Robbery,2013,38.9155998,-77.0280991
Robbery,2013,38.8841019,-76.9411011
Robbery,2013,38.9107018,-76.9395981
Robbery,2013,38.8504982,-76.9730988
Robbery,2013,38.9329987,-77.0220032
Robbery,2013,38.8644981,-76.9798965
Robbery,2013,38.9410019,-77.0178986
Robbery,2013,38.9014015,-76.9233017
Robbery,2013,38.8995018,-76.9761963
Robbery,2013,38.9627991,-77.0305023
Robbery,2013,38.8875999,-76.9266968
Robbery,2013,38.9450989,-77.0399017
Robbery,2013,38.9654999,-77.0277023
Robbery,2013,38.9336014,-76.9898987
Robbery,2013,38.9250984,-77.0354004
Robbery,2013,38.919899,-77.028801
Robbery,2013,38.8637009,-76.9832993
Robbery,2013,38.8902016,-76.9363022
Robbery,2013,38.9263992,-77.0339966
Robbery,2013,38.8894005,-76.9320984
Robbery,2013,38.9163017,-77.0257034
Robbery,2013,38.8442993,-76.9906006
Robbery,2013,38.8572998,-76.9636002
Robbery,2013,38.9090004,-76.9840012
Robbery,2013,38.9126015,-77.0205002
Robbery,2013,38.9295998,-77.0314026
Robbery,2013,38.8899994,-76.9593964
Robbery,2013,38.8459015,-76.9968033
Robbery,2013,38.9197998,-77.0006027
Robbery,2013,38.9197006,-77.0121994
Robbery,2013,38.8886986,-76.9829025
Robbery,2013,38.9291,-77.0297012
Robbery,2013,38.9095993,-77.0162964
Robbery,2013,38.9085007,-77.0401001
Robbery,2013,38.9328003,-77.030899
Robbery,2013,38.9001999,-76.9448013
Robbery,2013,38.9141006,-77.0289001
Robbery,2013,38.9110985,-77.0198975
Robbery,2013,38.9617004,-77.0198975
Robbery,2013,38.8967018,-76.9829025
Robbery,2013,38.9286003,-77.0286026
Robbery,2013,38.9681015,-77.0273972
Robbery,2013,38.9480019,-76.9819031
Robbery,2013,38.9001999,-76.9893036
Robbery,2013,38.912899,-77.0140991
Robbery,2013,38.9207001,-77.0400009
Robbery,2013,38.9482994,-77.024498
Robbery,2013,38.9466019,-77.0267029
Robbery,2013,38.910099,-76.9941025
Robbery,2013,38.9169998,-77.0307999
Robbery,2013,38.8376999,-76.9934998
Robbery,2013,38.8997993,-77.0208969
Robbery,2013,38.8396988,-76.998497
Robbery,2013,38.8674011,-76.9438019
Robbery,2013,38.8813019,-76.986702
Robbery,2013,38.9286003,-77.0286026
Robbery,2013,38.9667015,-77.0233002
Robbery,2013,38.9290009,-77.0246964
Robbery,2013,38.9407005,-77.0037003
Robbery,2013,38.9110985,-77.0333023
Robbery,2013,38.9230995,-77.0401993
Robbery,2013,38.9333992,-76.9926987
Robbery,2013,38.9323997,-76.9962006
Robbery,2013,38.8918991,-76.9413986
Robbery,2013,38.9341011,-77.0329971
Robbery,2013,38.9119987,-76.9406967
Robbery,2013,38.9510994,-77.0674973
Robbery,2013,38.8599014,-76.9989014
Robbery,2013,38.9141006,-77.0198975
Robbery,2013,38.8448982,-76.9778976
Robbery,2013,38.9002991,-76.9229965
Robbery,2013,38.9249992,-76.9924011
Robbery,2013,38.9263,-77.0422974
Robbery,2013,38.9631996,-77.0212021
Robbery,2013,38.8469009,-76.9803009
Robbery,2013,38.9336014,-77.0343018
Robbery,2013,38.9071999,-77.0074997
Robbery,2013,38.9076004,-77.0090027
Robbery,2013,38.9392014,-77.0297012
Robbery,2013,38.9061012,-77.0128021
Robbery,2013,38.8927994,-76.9598007
Robbery,2013,38.8628998,-76.9722977
Robbery,2013,38.9353981,-77.0297012
Robbery,2013,38.8404007,-76.9904022
Robbery,2013,38.9095993,-77.0157013
Robbery,2013,38.8588982,-76.9682007
Robbery,2013,38.8922997,-76.9513016
Robbery,2013,38.9096985,-76.9834976
Robbery,2013,38.9441986,-77.0177994
Robbery,2013,38.9273987,-76.9840012
Robbery,2013,38.9163017,-77.0105972
Robbery,2013,38.9039993,-76.947197
Robbery,2013,38.9286995,-77.0335999
Robbery,2013,38.8881989,-76.9311981
Robbery,2013,38.9366989,-77.0326996
Robbery,2013,38.8935013,-76.9503021
Robbery,2013,38.8880997,-76.9773026
Robbery,2013,38.9291,-77.0214005
Robbery,2013,38.9492989,-76.9925003
Robbery,2013,38.8787003,-76.9368973
Robbery,2013,38.8941002,-76.9392014
Robbery,2013,38.8802986,-76.9950027
Robbery,2013,38.956501,-77.0861969
Robbery,2013,38.9094009,-76.9869003
Robbery,2013,38.9785995,-77.024498
Robbery,2013,38.9515991,-77.0118027
Robbery,2013,38.8981018,-76.9926987
Robbery,2013,38.8652,-76.9866028
Robbery,2013,38.8678017,-76.9721985
Robbery,2013,38.9626999,-77.0106964
Robbery,2013,38.8776016,-76.9312973
Robbery,2013,38.8717995,-76.9740982
Robbery,2013,38.9748001,-77.0198975
Robbery,2013,38.9373016,-77.0326996
Robbery,2013,38.9048004,-76.9741974
Robbery,2013,38.9071007,-76.9389038
Robbery,2013,38.9281998,-77.0273972
Robbery,2013,38.8432999,-76.9923019
Robbery,2013,38.8936996,-76.9289017
Robbery,2013,38.9137993,-76.993103
Robbery,2013,38.9095993,-77.0333023
Robbery,2013,38.9118996,-77.0333023
Robbery,2013,38.9375992,-77.0311966
Robbery,2013,38.9477997,-76.9950027
Robbery,2013,38.9463005,-76.9937973
Robbery,2013,38.915699,-77.0193024
Robbery,2013,38.9180984,-77.026001
Robbery,2013,38.9462013,-77.0243988
